Nom productor,Núm. acreditació,Persona jurídica,Persona física,NIF,Adreça,Codi postal,Municipi,Comarca,Productes,Grups Productes,Venda directa,Venda circuit curt,Telèfon,Correu electrònic,Marca Comercial
A. TORRES S.C.P.,VP/P/2693/2017,X,,J43991181,C MAJOR 1,43424,SARRAL,CONCA DE BARBERÀ,"Carn, embotits i derivats carnis de cabrum, Carn, embotits i derivats carnis de xai, ORDI, CIVADA, TRITICALE, RAÏM VI","CEREALS, LLEGUMINOSES, VINYA",Venda directa,Venda circuit curt,676214103,antorres85@hotmail.com,
"A.R. SOLDEVILA, S.C.P..",VP/P/0512/2013,X,,J60727948,Lloc Fontdeconangla 0,8573,ORÍS,OSONA,"BLAT TOU, PATATA, CARABASSA","CEREALS D'ESTIU, CEREALS, HORTÍCOLES",Venda directa,,938591017,jordisoldevilarifa@yahoo.es,
"ABEL MULLERAS, JORDI",VP/P/0868/2013,,X,,,17240,LLAGOSTERA,GIRONÈS,Mel,,Venda directa,,,,
"ABELLI DALMAU, JAUME",VP/P/0867/2013,,X,,,17251,CALONGE,BAIX EMPORDÀ,"ORDI, CIVADA, PATATA, OLIVES, RAÏM VI, PRESSECS, PERES, POMES, CIRERES, PRUNES, ALTRES FRUITES, GARROFES, MELÓ, ENCIAMS, CEBA, CALÇOT, PORRO I ALL, COL I COLIFLOR, FIGUES, FAVES I FAVONS","CEREALS, FRUITA DOLÇA, FRUITS DE CLOSCA, HORTÍCOLES, OLIVERAR, PROTEAGINOSES, VINYA",Venda directa,,,,COPERATIVA SORT
"ACTEL, SCCL.AGRUP.COOP.AGR.TERRES LLEIDA",VP/AP/0031/2013,X,,F25023938,"CTRA. VALL D'ARAN, KM. 3 (ACTEL 2)",25196,ALFARRÀS,SEGRIÀ,,,Venda directa,Venda circuit curt,973700805,dmontagut@actel.es,MOLI CAL PAU
"ADELL DOMINGO, MANEL",VP/P/0665/2013,,X,,,8017,BARCELONA,BARCELONÈS,"Olis, BLAT TOU, OLIVERES, ALTRES FRUITERS DE LLAVOR","CEREALS, FRUITA DOLÇA, OLIVERAR",Venda directa,Venda circuit curt,,,
"ADROBAU ROS, EDUARD",VP/P/1004/2013,,X,,,17411,VIDRERES,LA SELVA,"Mel, ORDI, HORTA","CEREALS, HORTÍCOLES",Venda directa,Venda circuit curt,,,
"AFONSO JORDANA, ANTONIO",VP/P/0899/2013,,X,,,25511,TORRE DE CABDELLA,PALLARS JUSSÀ,"Carn, embotits i derivats carnis de boví",,Venda directa,Venda circuit curt,,,PLANA DE VIC
AGR. RAM. PALLARS SORT S COOP C LTDA,VP/P/2424/2016,X,,F25003922,Carre Dr. Carles Pol i Aleu 28,25560,SORT,PALLARS SOBIRÀ,"Carn, embotits i derivats carnis de boví",,Venda directa,,973620213,sort@cooppallars.com,"""LA PICOSSA"""
AGRARIA CAL PAU SL,VP/P/1881/2015,X,,B25694498,Av Lleida 9,25610,OS DE BALAGUER,LA NOGUERA,"Olis, BLAT TOU, ORDI, CIVADA, OLIVES, AMETLLES","CEREALS, FRUITS DE CLOSCA, OLIVERAR",Venda directa,Venda circuit curt,973438098,info@molidelpau.cat,
AGRARIA DE TORELLO S COOP C LTDA,VP/AP/0107/2017,X,,F58271586,Av Osona 18,8570,TORELLÓ,OSONA,PATATA,HORTÍCOLES,Venda directa,,617331898,mpares@agrariatorello.com,NOUS EL SOLER
AGRARIA I SECCIÓ DE CREDIT LA BORGENCA,VP/AP/0049/2013,X,,F25004086,PASSEIG DEL TERRAL S/N,25400,BORGES BLANQUES,LES GARRIGUES,"Conserves vegetals, sucs, melmelades, Olis, Altres productes elaborats",,Venda directa,Venda circuit curt,973142395,,OUS DE MAIANS
"AGRÀRIA PLANA DE VIC I SECCIÓ DE CRÈDIT, SCCL",VP/AP/0040/2013,X,,F08235665,"Ctra Barcelona - Puigcerdà, Km. 70,4",8503,GURB,OSONA,"Carn, embotits i derivats carnis de porcí, Carn, embotits i derivats carnis de boví",,Venda directa,Venda circuit curt,938852213,slacasa@planadevic.cat,CRESPIANES
AGRARIA SANT ANTONI ABAD DE MORA D'EBRE SCCL,VP/AP/0056/2014,X,,F43012038,C/ Nou 10,43740,MÓRA D'EBRE,RIBERA D'EBRE,Olis,,Venda directa,,648775110,coop.moradebre@gmail.com,LACRIMA OLEA -MOLI CLAPISES
"AGRICOLA ALABAU, SCP",VP/P/0446/2013,X,,J17431214,Carre Mar 1,17257,FONTANILLES,BAIX EMPORDÀ,"BLAT TOU, BLAT DE MORO, ORDI, CIVADA, PRESSECS, NECTARINES","CEREALS D'ESTIU, CEREALS, FRUITA DOLÇA, NO ADMISSIBLES",Venda directa,,680359546,sergialabau86@gmail.com,
"AGRICOLA BACH OLLER, SL",VP/P/3380/2019,X,,B66320599,C/ Joan Maragall 29,8180,MOIÀ,BAGES,NOUS,FRUITS DE CLOSCA,Venda directa,Venda circuit curt,616484598,jbachpare@gmail.com,AGRICOLO COYO VIDAL SCP
"AGRÍCOLA CAL CALLU, SL",VP/P/1976/2015,X,,B63942726,Finca CASA CAL CALLU,8259,CASTELLFOLLIT DEL BOIX,BAGES,"Ous de gallina, BLAT TOU, ORDI, CIVADA, FAVES I FAVONS , OLIVES, RAÏM VI, AMETLLES, POMES, CEBA, CALÇOT, PORRO I ALL, ESPINAC, HORTA","CEREALS, FRUITA DOLÇA, FRUITS DE CLOSCA, HORTÍCOLES, OLIVERAR, PROTEAGINOSES, VINYA",Venda directa,,674890104,agricolacallu@gmail.com,
"AGRICOLA CAL VERMELL, SL",VP/P/2257/2016,X,,B17992181,C FUESSA 2,17832,CRESPIÀ,PLA DE L'ESTANY,"OLIVES, NOUS","FRUITS DE CLOSCA, OLIVERAR",Venda directa,Venda circuit curt,627903807,miquel@crespianes.com,"AGRÍCOLA DE GARRIGUELLA I RABÓS, SCCL"
AGRICOLA CATALANA I SECCIO DE CRDIT DE GODALL SCCL,VP/AP/0037/2013,X,,F43011840,"Plaça Plaça des la Cooperativa,s/n",43516,GODALL,MONTSIÀ,Olis,,Venda directa,,666002352,admin@agricoladegodall.com,
"AGRICOLA CATALANA I SECCIO DE CREDIT, SD",VP/P/1298/2013,X,,F43011386,"AV CATALUNYA, 224",43896,ALDEA,BAIX EBRE,ALTRES FRUITERS DE LLAVOR,FRUITA DOLÇA,Venda directa,,609503337,coopaldea@movistar.es,
AGRICOLA COYO VIDAL SCP,VP/P/2616/2017,X,,J25782392,Pda RUFEA 38,25194,LLEIDA,SEGRIÀ,"PRESSECS, PERES, POMES, HORTA","FRUITA DOLÇA, HORTÍCOLES, NO ADMISSIBLES",Venda directa,,646966123,victorcoyovidal@gmail.com,
"AGRICOLA DE CORBERA D'EBRE, SCCL",VP/AP/0044/2013,X,,F43013994,C/ Ponent 21,43784,CORBERA D'EBRE,TERRA ALTA,"Vins, caves i vinagres, Olis",,Venda directa,,609038938,miro@agricolacorbera.com,OLI LA LLENA
"AGRÍCOLA DE GARRIGUELLA I RABÓS, SCCL",VP/P/3401/2020,X,,F17015033,C/ Ctra de Roses s/n,17780,GARRIGUELLA,ALT EMPORDÀ,"Vins, caves i vinagres, RAÏM",VINYA,Venda directa,Venda circuit curt,636332311,info@cooperativagarriguella.com,
"AGRICOLA DE LA CONCA I SECCIO DE CREDIT, SCCL",VP/AP/0148/2019,X,,F43011758,C TORRES JORDI 10,43440,ESPLUGA DE FRANCOLÍ,CONCA DE BARBERÀ,Olis,,Venda directa,,977870105,coviso@telefonica.net,
"AGRÍCOLA DEL CAMP SANTA BÀRBARA, SCCL",VP/AP/0038/2013,X,,F43329028,"PG DE LES ESCOLES, 71",43570,SANTA BARBARA,MONTSIÀ,Olis,,Venda directa,Venda circuit curt,977719320,grusco@grusco.net,
AGRICOLA DEL PRAT DE LLOBREGAT S.C.C.L.,VP/AP/0161/2019,X,,F58160391,Carre De les Moreres 57-59,8820,PRAT DE LLOBREGAT,BAIX LLOBREGAT,"Carxofa, JULIVERT, ENDÍVIA, ESCAROLA I XICOIRA, PRUNES, CARBASSÓ, API, ESPINAC, CIRERES, SÍNDRIA, FAVES I FAVONS, TOMÀQUET, ENCIAMS, PASTANAGA, PRESSECS, PERES, CEBA, CALÇOT, PORRO I ALL, POMES, COL I COLIFLOR, PÈSOLS, MONGETA , BLEDA, PATATA, MELÓ, CARABASSA","ALTRES PRODUCTES, FRUITA DOLÇA, HORTÍCOLES, LLEGUMINOSES, PROTEAGINOSES",Venda directa,Venda circuit curt,932630972,agriprat@gmail.com,
"AGRICOLA D'ULLDEMOLINS SANT JAUME, SCCL",VP/AP/0068/2015,X,,F43012533,C/ Saltadora 17,43363,ULLDEMOLINS,PRIORAT,"Vins, caves i vinagres, Olis",,Venda directa,,646955468,info@coopulldemolins.com,
"AGRICOLA FALSET - MARÇA, SCCL",VP/AP/0078/2015,X,,F43011766,C/ Miquel Barcelo 31,43730,FALSET,PRIORAT,"Altres productes elaborats, Vins, caves i vinagres, Olis",,,Venda circuit curt,977830105,anna.pedrol@etim.cat,BARONIA DE CABACES
"AGRICOLA FELPLA, CB",VP/P/1869/2015,X,,E17499252,Praje Mas Virosella,17731,TERRADES,ALT EMPORDÀ,"BLAT TOU, ORDI, OLIVES, CIRERES","CEREALS, FRUITA DOLÇA, OLEAGINOSES, OLIVERAR",Venda directa,,639310255,isidrefelip@gmail.com,
AGRICOLA GERMANS FABREGAT SCP,VP/P/0094/2013,X,,J55571129,"C MAJOR, 97",43550,ULLDECONA,MONTSIÀ,"ORDI, OLIVERES, AMETLLERS, GARROFER, ALTRES FRUITERS DE LLAVOR","ALTRES FRUITS SECS, CEREALS, FRUITA DOLÇA, OLIVERAR",Venda directa,Venda circuit curt,697384987,germansfabregat@gmail.com,OLI DE PARTICULAR
"AGRICOLA I RAMADERA CAN GAY, SL",VP/P/2971/2018,X,,B55309694,Finca MAS GAY S/N,17468,VILADEMULS,PLA DE L'ESTANY,"Carn, embotits i derivats carnis de boví, ORDI, CIVADA, MILL",CEREALS,Venda directa,Venda circuit curt,626261804,tesnup@gmail.com,
AGRÍCOLA I RAMADERA CAN LLUIS,VP/P/0503/2013,X,,B60786100,C Mas de Can Sala 14,8460,SANTA MARIA DE PALAUTORDERA,VALLÈS ORIENTAL,"BLAT TOU, CIVADA, MONGETA, PRODUCTES D'HORTA","CEREALS D'ESTIU, CEREALS, HORTÍCOLES, LLEGUMINOSES",Venda directa,Venda circuit curt,938482271,arcanlluis@gmail.com,AMETLLER ORIGEN
AGRICOLA I SECCIÓ DE CREDIT DE CABACES,VP/AP/0127/2019,X,,F43011600,C/ MAJOR 36,43373,CABACÉS,PRIORAT,Olis,,Venda directa,Venda circuit curt,620359383,administracio@coopcabaces.coop,
AGRICOLA I SECCIO DE CREDIT DE LA BISBAL DE FALSET,VP/AP/0035/2013,X,,F43011527,"C. LA PALMA,  23",43372,BISBAL DE FALSET,PRIORAT,Olis,,Venda directa,Venda circuit curt,977819034,montsacer@montsacer.com,
"AGRÍCOLA J.M., SL",VP/P/2617/2017,X,,B17289190,Rbla RAMBLA 23,17600,FIGUERES,ALT EMPORDÀ,"Olis, BLAT TOU, OLIVES, HORTA","CEREALS, HORTÍCOLES, OLIVERAR",Venda directa,Venda circuit curt,972510369,info@asajagirona.com,
"AGRICOLA MARCIAL, SCP",VP/P/0450/2013,X,,J17617861,"CARRE RAVAL, 111",17300,BLANES,LA SELVA,"Carn, embotits i derivats carnis de xai, CIVADA, ALTRES FRUITERS DE LLAVOR","CEREALS, FRUITA DOLÇA",Venda directa,Venda circuit curt,650464971,marcial.vives@gmail.com,
"AGRICOLA MARESME SEGLE XXI, SAT",VP/P/2610/2017,X,,V65543068,Mare de Déu de Montserrat,8734,OLÈRDOLA,ALT PENEDÈS,"FAVES I FAVONS , PATATA, OLIVES, RAÏM VI, PRESSECS, NECTARINES, ALBERCOCS, CIRERES, PRUNES, ENCIAMS, SÍNDRIA, CEBA, CALÇOT, PORRO I ALL, API, ALBERGÍNIA, CARBASSÓ, COGOMBRE, BLEDA, CARABASSA, TOMÀQUET, MADUIXA, MONGETA , PÈSOLS, MONGETA","FRUITA DOLÇA, HORTÍCOLES, LLEGUMINOSES, OLIVERAR, PROTEAGINOSES, VINYA",,Venda circuit curt,687934409,mbisbal@casaametller.net,
